file_id,stress_mean,stress_std,stress_rms,stress_min,stress_max,stress_abs_q50,stress_abs_q90,stress_abs_q99,stress_abs_q999,stress_kurtosis,difference_rms,n_samples,cycle_count,half_cycle_fraction,amplitude_mean,amplitude_q50,amplitude_q90,amplitude_q99,amplitude_max,cycle_mean_abs,rf_power_2.0,rf_power_2.1,rf_power_2.2,rf_power_2.3,rf_power_2.4,rf_power_2.5,rf_power_2.6,rf_power_2.7,rf_power_2.8,rf_power_2.9,rf_power_3.0,rf_power_3.1,rf_power_3.2,rf_power_3.3,rf_power_3.4,rf_power_3.5,rf_power_3.6,rf_power_3.7,rf_power_3.8,rf_power_3.9,rf_power_4.0,rf_power_4.1,rf_power_4.2,rf_power_4.3,rf_power_4.4,rf_power_4.5,rf_power_4.6,rf_power_4.7,rf_power_4.8,rf_power_4.9,rf_power_5.0,rf_power_5.1,rf_power_5.2,rf_power_5.3,rf_power_5.4,rf_power_5.5,rf_power_5.6,rf_power_5.7,rf_power_5.8,rf_power_5.9,rf_power_6.0,rf_power_6.1,rf_power_6.2,rf_power_6.3,rf_power_6.4,rf_power_6.5,rf_power_6.6,rf_power_6.7,rf_power_6.8,rf_power_6.9,rf_power_7.0,rf_power_7.1,rf_power_7.2,rf_power_7.3,rf_power_7.4,rf_power_7.5,rf_power_7.6,rf_power_7.7,rf_power_7.8,rf_power_7.9,rf_power_8.0
train01.csv,5.935076837195951,8.63142014337503,10.475044188683889,-19.34373,39.39125,7.334288,16.699768,23.692183,29.335526,3.0142096305314507,0.8418242191897826,581120.0,179168.0,7.255759957135203e-05,0.5315952577353127,0.39009349999999987,1.0012385000000004,2.4380805,29.36749,8.752572737626943,110046.75112042182,118217.0045949542,128628.06878396965,141819.00730157926,158491.10651447705,179557.8210963208,206211.23066357645,240010.610796798,283000.6869686069,337869.806950974,408161.8913927876,498560.95261677704,615273.6863446452,766544.7950540069,963352.1931314149,1220346.3052269418,1557120.9921006544,1999935.5470386813,2584050.895472774,3356902.994747202,4382418.516531639,5746890.525736485,7566986.51362024,10000673.601133777,13262137.787830306,17642175.83196973,23536091.17390029,31481886.49714959,42212594.10454401,56728030.46775215,76393253.9922463,103073753.8397562,139321191.05193597,188628750.2873697,255782393.41645646,347344299.3341811,472318585.87040144,643068505.1443534,876580713.307188,1196208752.4337428,1634078445.2238169,2234407897.201249,3058091721.01051,4189033338.0279884,5742895193.92681,7879194455.482705,10818029003.816607,14863213849.059088,20434294977.100334,28110860411.02723,38693890136.03491,53290720864.94497,73432747601.15324,101238518377.49362,139639786101.4431,192694896846.54572,266023360603.85486,367408602111.5392,507634163401.8195,701644025464.126,970153015082.4962
train02.csv,-7.732027950401875,10.75398131980988,13.245088540761653,-37.650806,25.297182,8.5642,25.715986,29.840237,32.55238389300022,3.743290659020879,0.5247498624656393,581120.0,165818.0,6.0307083670047884e-05,0.34287388525810836,0.21896749999999976,0.7079255500000001,2.1705469410000005,31.473994,10.903307131193115,60187.92975460052,65572.03786674072,72650.3011362561,81877.85475783129,93867.21698182664,109442.70478704864,129714.95809695846,156183.08072237798,190874.77612981785,236538.83129352328,296909.8123698575,377072.4799799693,483964.0420078417,627067.0969800549,819366.5952655567,1078672.60685924,1429450.2663704725,1905353.3349025284,2552734.4631145066,3435511.9504219494,4641921.415198218,6293887.843489289,8560042.027277682,11673807.621347208,15958545.869296543,21862527.207610197,30007590.060102243,41256869.550061285,56809103.52676652,78329989.06378967,108135203.18729538,149445483.47155276,206742239.26922768,286263444.14841634,396695318.8636821,550137333.7023977,763448831.0800953,1060128578.8012315,1472938686.0968485,2047568367.532424,2847750564.416716,3962408777.9327607,5515641311.593503,7680671602.544523,10699343025.953629,14909365690.75621,20782402987.608337,28977317346.02049,40414618294.20958,56380568193.185616,78672777367.70172,109803846482.22943,153286230069.30063,214030757633.6955,298904217360.5464,417509566423.6354,583277760473.1108,814995805967.1843,1138945513658.634,1591897287771.5115,2225301135342.549
train03.csv,1.926783167282217,9.019780884320642,9.223282527109216,-28.079456,29.944937,4.349066,17.703989,23.109097,24.655691,3.661141249317629,0.669239046458161,581120.0,173099.0,6.932449060942005e-05,0.43666217038211663,0.32526330000000003,0.86949425,2.3363672755000002,29.0121965,6.722594163783356,80294.98308947597,86319.24389301313,94173.2499598804,104312.04592414212,117337.28895694934,134045.05401533563,155490.39809789788,183074.65887818413,218663.65121008485,264747.92267200514,324660.33966775396,402871.91595773445,505394.54065666604,640329.9047489102,818618.5558388538,1055063.1357081477,1369727.5510215184,1789851.9597283867,2352475.979377432,3108034.899004424,4125293.4438366294,5498119.2171799475,7354787.716399919,9870772.675257929,13286336.90824703,17930737.821168583,24255550.8450951,32880565.90756799,44657027.177471295,60754803.74455131,82782590.99591422,112953715.44401295,154314918.0931392,211062133.11618078,288976465.7121241,396026283.1154591,543198919.5373098,745649834.0707333,1024290746.8995284,1407984910.3294208,1936582230.036434,2665116342.130026,3669609538.912182,5055102876.341414,6966766259.947545,9605272255.166218,13248073095.841934,18278851795.42816,25228293225.40868,34830533552.64371,48101326911.59531,66446297435.97809,91810873526.27242,126887977226.95616,175405747139.72214,242526177400.70786,335397485905.60284,463919569555.9096,641804848860.5593,888048626778.1116,1228967225528.5828
train04.csv,-2.4779050628525248,6.969851630661143,7.397218751256446,-54.09785,38.48947,4.9852424,12.204809,18.897152,22.26033,3.2064087524992657,0.8350372397614809,581120.0,171863.5,6.109499690161087e-05,0.548446298629389,0.38053649999999983,0.98004125,3.9159131824999998,46.29366,5.808195874769418,183400.30593752777,213585.1414556544,252401.08732362802,302431.02532035066,367121.1514242928,451084.2783573024,560515.0581275523,703759.8490491982,892100.7542637814,1140836.927084562,1470779.3527540958,1910321.9186127984,2498317.2720027734,3288078.693102857,4352960.300199842,5794153.488464136,7751600.587449989,10419300.15695087,14066809.07543201,19069501.777349576,25951222.845895454,35444503.515550345,48575703.22536257,66785568.07745991,92100176.78580393,127373657.94920611,176633254.19378805,245570494.14399958,342241163.36895406,478063965.2101662,669246874.3785431,938826468.9918523,1319586575.9787035,1858239357.962079,2621420380.1167736,3704292187.130372,5242901731.793186,7431943760.120164,10550314703.778244,14997900822.808817,21348576816.977566,30426609435.70285,43416873192.06232,62023939834.471,88701849863.40019,126986157438.55377,181974031664.43964,261018791890.65442,374735152037.238,538454866212.65393,774335539847.1045,1114417024043.5037,1605053038656.8438,2313339387052.333,3336441876477.796,4815136960120.407,6953474614021.795,10047341213399.342,14525964290179.707,21012241952638.08,30410461196426.016
train05.csv,3.0745978793732656,8.83038255181263,9.350337327134435,-19.364319,29.429405,4.492564,15.011532,24.65888,26.393618,3.2607811568615457,0.47616080020375257,581120.0,176329.5,6.521880910454576e-05,0.3043319589976691,0.21896800000000027,0.5995044999999997,1.354200210575,24.396862,7.117834475035451,38583.82646617133,40422.060496360995,43219.30717665466,47206.716708116786,52697.216241170536,60111.79094953272,70014.9847171001,83162.80690332023,100567.36481161324,123584.07709910741,154029.40611718647,194339.87382350262,247786.96416299883,318767.7290322473,413198.0011666991,539044.7510417544,707047.2262958797,931694.33489726,1232549.9856270025,1636051.1098883545,2177948.0316114025,2906618.0551496996,3887566.5067775766,5209543.044013968,6992855.820380108,9400677.044586824,12654421.047982037,17054668.075164407,23009641.72516067,31073977.284355275,42001513.087371826,56817194.43558948,76915031.84322503,104191583.2181506,141227879.90028006,191537426.5134632,259904335.05261755,352844433.98073536,479234183.42923725,651168603.1756434,885131787.0925264,1203594131.426858,1637192145.0536716,2227703739.199386,3032109818.8880987,4128139483.7688627,5621841672.175175,7657924978.847756,10433879238.06377,14219264084.890278,19382057731.841797,26424653742.29908,36033043190.397545,49144018025.19809,67037006950.173096,91459583119.92107,124799003437.78252,170316680540.20944,232468699878.61514,317343990256.07043,433263377683.68567
train06.csv,-6.8977824869157445,10.94057002207665,12.933502064203795,-44.113018,40.77429,7.615516,24.231573,31.306578,34.11702,3.6637666244012634,0.6476328433993609,581120.0,164690.0,7.893618313194486e-05,0.4300420206132036,0.27211549999999995,0.8163464999999985,3.214365365,42.443653999999995,10.36462032733207,112650.95686180948,128109.08384847283,147843.8150070599,173082.83593148756,205470.55055551915,247216.87209890978,301302.3158360169,371761.32465989265,464074.5260734289,585712.95089836,746894.6090781927,961638.298098962,1249234.0659830163,1636298.5506699076,2159652.415738076,2870354.744892146,3839367.5517824944,5165519.588312077,6986716.7057827385,9495740.763962746,12962539.83236231,17765709.528560337,24436999.129738085,33724289.77261813,46680790.0815993,64791468.993011236,90152413.75226116,125725459.77094007,175699941.7260103,246006983.1737021,345051123.09556043,484751775.32171124,682026616.3484547,960905636.855152,1355545637.6267455,1914530963.2052338,2707012396.0493493,3831474117.9323783,5428259683.709503,7697476840.075475,10924602089.847326,15517111565.440464,22056907827.775497,31375383516.75807,44660936755.49884,63613024468.593155,90662975932.76958,129290606599.6987,184478346765.30237,263362822684.14493,376170034803.8706,537557976250.61554,768544776304.0901,1099278516177.9249,1573017234808.609,2251849434351.257,3224918395049.7686,4620249227712.313,6621761123850.579,9493744035841.674,13616083268019.914
train07.csv,-0.013323069124955393,7.273800356599723,7.273812558200903,-24.620083,21.027306,3.2547574,14.105366,18.582518,20.33001,3.5945528040243033,0.5696482651749413,581120.0,177914.0,6.744831772654204e-05,0.36832686036057305,0.32526315000000006,0.6526525000000003,1.5221466000000001,22.823694500000002,5.25024599581654,47100.421891210106,48267.90814462278,50205.53800339315,53064.19831979847,57046.05300446742,62419.59045320893,69539.6730962814,78874.2129781612,91039.64608700045,106848.11178959117,127370.22550134583,154018.6476460457,188659.41425193642,233760.3577061025,292589.11666899105,369477.4895803593,470174.60011822224,602319.0181345762,776070.2927247506,1004954.2164064671,1306994.7780730263,1706230.8305499854,2234749.223515682,2935411.5357787823,3865512.6281168032,5101691.483146682,6746525.55609201,8937389.047514329,11858356.50328356,15756203.994603898,20961925.18094006,27919671.669116642,37225690.59979359,49680727.17959727,66360566.74898912,88711019.05079015,118675843.99631903,158869082.42533058,212807255.9362523,285222299.96291757,382483384.52192163,513165620.39304066,688816940.8223302,924992400.9708331,1242649385.9247837,1670029975.590703,2245200972.385722,3019481899.6955266,4062072094.576977,5466297243.291619,7358043346.362724,9907145681.942822,13342770166.704155,17974189356.264835,24218848688.48665,32640285791.591908,43999368110.96691,59323534791.08328,80000380075.70593,107904149596.51476,145566743762.95987
train08.csv,1.3630155787564413,8.907250103750018,9.010933130297186,-25.758049,28.776934,4.3571205,17.241022,22.83452,27.11254,3.6894696107644167,0.7282744722258249,581120.0,178412.5,8.687732081552581e-05,0.4537378056930709,0.33374624999999947,0.8885447,2.165015595625,27.2674915,6.829841803407951,79419.91488486913,83978.46957794097,89989.11855265938,97787.56347070853,107817.16167850955,120663.28634720967,137099.63742099653,158150.72040585062,185176.24293394404,219985.27457560948,264990.88268835517,323419.88354058,399597.72850448464,499335.9229309096,630459.4975957689,803525.947607576,1032806.136902946,1337623.8871486112,1744187.012926084,2288092.1297940398,3017753.746463251,3999101.984808153,5322022.442099582,7109189.582820099,9528190.057466175,12808169.92711781,17262705.02342983,23321235.036708593,31572286.272318482,42822927.67687196,58180587.20686383,79165676.97973385,107866679.13841975,147153765.99520177,200973132.07014233,274752643.6650008,375961050.2718071,514879076.94509757,705662921.9020494,967811361.2166803,1328190050.9631243,1823825194.6367898,2505759703.115939,3444376881.1645274,4736751376.222416,6516801011.271409,8969308867.834042,12349293958.706078,17008774440.769485,23433749634.01305,32295309262.47838,44520275367.74629,61388853510.86328,84669635604.43018,116806262148.66907,161175539229.79126,222444400257.60638,307063613890.8981,423950689274.3998,585434570392.179,808562593439.1329
train09.csv,3.968364001449333,2.8841222881098316,4.905718522374767,-15.130052,31.197628,4.1901546,7.2387,10.708173,15.15131,4.096766013944673,0.6485443902944161,581120.0,179333.0,7.80670596042e-05,0.4109671841581193,0.32738884999999995,0.7631991499999999,2.1705470051,23.16384,4.202007859871111,74693.37724254382,79994.75167457564,86834.65341748833,95522.3650541777,106451.3034535927,120120.93953528939,137165.09705796154,158388.5011923476,184814.02721437215,217743.86139345358,258838.78915504186,310221.1483905694,374608.7328206451,455489.24069365865,557347.9232391441,685965.1425902819,848805.9307181076,1055530.7908253449,1318666.4912327183,1654488.259631611,2084181.65170244,2635374.8621672597,3344162.272727184,4257780.14629681,5438149.013945456,6966569.07451029,8949951.042384503,11529093.68608028,14889692.039594531,19276992.08119756,25015318.964826643,32534124.1695264,42402759.314472094,55376940.95569727,72460889.05787453,94990493.35827988,124744709.933558,164094881.7845857,216205037.79520065,285300759.21869946,377030324.95852935,498950115.5022993,661177427.6624539,877268954.0100557,1165403601.9657774,1549975951.8561964,2063744035.088573,2750725716.984659,3670106492.853642,4901514326.792186,6552142934.464493,8766375382.018208,11738790995.929962,15731752019.40346,21099191643.029663,28318801972.944115,38035603529.16663,51120940867.870964,68752392334.46788,92522042357.77151,124583227839.8711
train10.csv,-3.144712691729918,15.500436437273633,15.816217868361809,-51.528698,36.99815,7.263148,29.266243,42.55314,49.462322,3.8941132737901856,0.628361421653966,581120.0,169654.0,7.662654579320263e-05,0.4182857727403097,0.3252630000000001,0.7610736299999998,2.4469145,44.263424,11.531899359956798,84273.03523885833,93832.586322633,106654.85086262143,123806.38215763544,146769.09465162436,177607.27848466337,219204.60438440274,275600.9412547339,352471.7014735872,457810.9414418859,602906.0433772038,803730.0417810158,1082932.6553986433,1472690.2259118068,2018788.6956256167,2786477.8376562516,3868871.346279204,5399008.088717099,7567180.988036211,10645848.322093554,15025463.971917387,21266037.414920725,30171361.963882145,42895921.23380757,61098918.65602989,87166279.50817199,124530726.07973857,178133391.75379464,255089751.7399206,365650557.42515564,524588801.26415634,753202054.8099711,1082203835.4853888,1555899573.4995456,2238219061.1484747,3221432271.9373507,4638744302.128225,6682498808.124086,9630491357.382973,13884011216.067371,20022846638.244343,28884828197.814697,41680870712.05344,60161375403.51616,86856948637.74776,125426664442.29391,181161968084.5705,261715848295.47125,378158081526.65875,546502497103.3721,789917591264.1035,1141926505327.8457,1651039525261.1226,2387460903958.997,3452799551218.6187,4994129967877.24,7224353664750.639,10451686172542.186,15122362302095.39,21882488909181.438,31667635647401.6
